text,language,sentiment,likes,retweets
"#MaharashtraElections2024 | #November23WithTimesNow

#TimesNow Hits The Campaign Trail

Capturing The Mood of Maharashtra

Biggest Newsmakers on #ElectionYatra

Catch The Special Edition Of #ElectionYatra With @Swatij14 At 3:30 PM &amp; 5:30 PM. https://t.co/Fr6Guo7m8P",en,positive,1.0,0.0
"@Ashok_Kashmir अगर धर्म बचाना हैं तो सब मिलकर बचाएंगे। ऐसा नहीं चलेगा कि हम लोग धर्म बचाएंगे और डिप्टी सीएम की पत्नी इंस्ट्राग्राम पर Reel बनाएंगी : कन्हैया कुमार #KanhaiyaKumar 

#MaharashtraElections2024

#MahaVikasAghadi

https://t.co/dJz5hMjM5d https://t.co/ZUINvf59m9",auto,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
,auto,neutral,,
"Shining India Survey Maharashtra Assembly Elections Opinion Poll 2024.

#Maharashtra: Alliance wise Seat Share projection! Total seats 288.

Maha Vikas Agadi :    143   +11
Mahayuti                  :    130  +-11
MIM                            :     3   +-2
SP                                :     2   +-1
BVA                             :     2    +-1
Other & IND             :     8  +-3
( Close fight seats 46)
#MaharashtraAssemblyElection
#ShiningIndiaSurvey 
@mieknathshinde @Dev_Fadnavis @AjitPawarSpeaks @JPNadda  vs @uddhavthackeray @OfficeofUT @NANA_PATOLE @PawarSpeaks @kharge @RahulGandhi
@ShivSenaUBT_ @Shivsenaofc @INCIndia @BJP4India",en,positive,15.0,6.0
"Final Assessment: Maha Vikas Aghadi Predicted to Win Maharashtra Elections 2024

The Maharashtra Elections 2024 are poised to be a closely contested race between two powerful alliances: Maha Vikas Aghadi (MVA) and Maha Yuti (MY). Based on astrological analysis, it is anticipated that Maha Vikas Aghadi will secure 149 seats, while Maha Yuti is expected to garner 139 seats. With 145 seats required to form a government in the 288-seat Maharashtra Legislature, Maha Vikas Aghadi appears to have the edge in this election.",en,positive,207.0,35.0
"#VoteForSadanandBhat 

Let us support the Independent candidate #SADANANDBHAT, from #Bhandup West constituency, Maharashtra for Vidhan Sabha Elections 2024. 

The Election symbol is – Batsman.

He is supporting our demand for men's commission. https://t.co/fYTS4MKKvR",en,positive,97.0,93.0
"Maharashtra election 2024
BjP 70 seat 
Shinde sena 30 seats
Ajit pawar 18 seats 
Congress - 75 seats 
UBT ss - 60 seats
Sharad pawar - 38 seats 
Opinion polls https://t.co/ETijvHt9JJ",en,neutral,1.0,0.0
"Maharashtra Elections 2024: ""When changed Aurangabad's name to Chhatrapati Sambhaji Nagar and (Osmanabad's name) to Dharashiv, Congress, Uddhav Thackeray and Sharad Pawar have always raised objections to it. Gadchiroli was affected by Naxals since long, but PM Modi ended Naxalism. Naxals are only left in Chhattisgarh now, but we will finish Naxalism from there as well before March 31, 2026,"" says Union Home Minister Amit Shah at an election rally in Chandrapur. - PTI #MaharashtraElection2024",en,negative,2.0,0.0
"Sharing some glimpses from the Shining India Survey For Maharashtra Assembly Elections 2024.
#MaharashtraAssemblyElections2024 https://t.co/cV1j0EA79L",en,neutral,5.0,2.0
"◇Vote for @NANA_PATOLE  in 2024 Maharashtra   Vidhansabha  Elections  
♡We want to change India and make India a Corruption free democratic country  
♤Support @INCIndia and change our country  
♧JAI HIND JAI BHARAT 🇮🇳🇮🇳",en,positive,3.0,3.0
"Markets will remain closed on Wednesday, November 20, 2024, on account of Assembly Elections in Maharashtra. https://t.co/FjolCZ7rgr",en,negative,926.0,62.0
"Campaign in Salekasa area for INC candidate Rajkumar Puram Ji, 66 - Amgaon LAC, Maharashtra Elections 2024. @INCIndia @INCMaharashtra @RahulGandhi @kharge @kcvenugopalmp https://t.co/CM0JJohl7j",auto,neutral,5.0,0.0
"Join us for a public meet with Ashok Bhau Jadhav, our candidate for the 165 Andheri (West) Constituency!
Let’s unite for change and progress in the upcoming Maharashtra Legislative Assembly Elections.

Date: 16th November 2024
Ward No. 67, Morning Session: 9:30 AM - 2:00 PM
Ward No. 65,66 , Evening Session: 4:00 PM - 10:00 PM

Mark your calendars and be a part of the movement for a better tomorrow. Voting day is 20th November 2024!""

#AndheriWestVidhansabhaa #AndheriWest #Mumbai #Congress #काँग्रेस #MVA #MahavikasAaghadi #महाविकासआघाडी #AapleBhau #AshokBhau #आपलेभाऊ #अशोकभाऊ #AshokJadhav #AshokBhauJadhav",en,positive,0.0,0.0
"Deputy CM of AP &amp; JanaSenani's @PawanKalyan will Campaign for NDA at Maharashtra , Degloor &amp; lattur💥🤩
#pawankalyan #bjpmaharashtra
#NDAForMaharashtra 
#MaharashtraElections2024 https://t.co/U2KPcZgFvZ",auto,neutral,1.0,1.0
"#MaharashtraElections2024 | #November23WithTimesNow

#TimesNow Hits The Campaign Trail

Capturing The Mood of Maharashtra

Biggest Newsmakers on #ElectionYatra

Catch The Special Edition Of #ElectionYatra With @Swatij14 At 3:30 PM &amp; 5:30 PM. https://t.co/Y2bvh9zS9K",en,positive,2.0,0.0
"#MaharashtraNeedsDevendra 
#MaharashtraElections2024",auto,neutral,0.0,0.0
"#MaharashtraElections2024 | #November23WithTimesNow

#TimesNow Hits The Campaign Trail

Capturing The Mood of Maharashtra

Biggest Newsmakers on #ElectionYatra

Catch The Special Edition Of #ElectionYatra With @Swatij14 At 3:30 PM &amp; 5:30 PM. https://t.co/Fr6Guo7m8P",en,positive,2.0,0.0
"@Ashok_Kashmir अगर धर्म बचाना हैं तो सब मिलकर बचाएंगे। ऐसा नहीं चलेगा कि हम लोग धर्म बचाएंगे और डिप्टी सीएम की पत्नी इंस्ट्राग्राम पर Reel बनाएंगी : कन्हैया कुमार #KanhaiyaKumar 

#MaharashtraElections2024

#MahaVikasAghadi

https://t.co/dJz5hMjM5d https://t.co/ZUINvf59m9",auto,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
,auto,neutral,,
"जब तक बेरिस्टर @asadowaisi साहब ज़िंदा है, तब तक हमारा वोट असदुद्दीन ओवैसी की पार्टी को ही जायेगा इंशा अल्लाह! 
#AIMIM
#asadowaisi
#MissionMaharashtra 
#voteforkite #VoteForMajlis #MaharashtraElections2024 https://t.co/QlEl4V7RPW",auto,positive,0.0,0.0
"Join us for a public meet with Ashok Bhau Jadhav, our candidate for the 165 Andheri (West) Constituency!
Let’s unite for change and progress in the upcoming Maharashtra Legislative Assembly Elections.

Date: 16th November 2024
Ward No. 67, Morning Session: 9:30 AM - 2:00 PM
Ward No. 65,66 , Evening Session: 4:00 PM - 10:00 PM

Mark your calendars and be a part of the movement for a better tomorrow. Voting day is 20th November 2024!""

#AndheriWestVidhansabhaa #AndheriWest #Mumbai #Congress #काँग्रेस #MVA #MahavikasAaghadi #महाविकासआघाडी #AapleBhau #AshokBhau #आपलेभाऊ #अशोकभाऊ #AshokJadhav #AshokBhauJadhav",en,positive,0.0,0.0
"Deputy CM of AP &amp; JanaSenani's @PawanKalyan will Campaign for NDA at Maharashtra , Degloor &amp; lattur💥🤩
#pawankalyan #bjpmaharashtra
#NDAForMaharashtra 
#MaharashtraElections2024 https://t.co/U2KPcZgFvZ",auto,neutral,1.0,1.0
"#MaharashtraElections2024 | #November23WithTimesNow

#TimesNow Hits The Campaign Trail

Capturing The Mood of Maharashtra

Biggest Newsmakers on #ElectionYatra

Catch The Special Edition Of #ElectionYatra With @Swatij14 At 3:30 PM &amp; 5:30 PM. https://t.co/Y2bvh9zS9K",en,positive,2.0,0.0
"#MaharashtraNeedsDevendra 
#MaharashtraElections2024",auto,neutral,0.0,0.0
"#MaharashtraElections2024 | #November23WithTimesNow

#TimesNow Hits The Campaign Trail

Capturing The Mood of Maharashtra

Biggest Newsmakers on #ElectionYatra

Catch The Special Edition Of #ElectionYatra With @Swatij14 At 3:30 PM &amp; 5:30 PM. https://t.co/Fr6Guo7m8P",en,positive,2.0,0.0
"@Ashok_Kashmir अगर धर्म बचाना हैं तो सब मिलकर बचाएंगे। ऐसा नहीं चलेगा कि हम लोग धर्म बचाएंगे और डिप्टी सीएम की पत्नी इंस्ट्राग्राम पर Reel बनाएंगी : कन्हैया कुमार #KanhaiyaKumar 

#MaharashtraElections2024

#MahaVikasAghadi

https://t.co/dJz5hMjM5d https://t.co/ZUINvf59m9",auto,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
"#MaharashtraElections
#MaharashtraElections2024
For
Harmony &amp; Peace
Equality &amp; Unity
Security &amp; Justice
Development &amp; Economy
Businesses &amp; Jobs
#WalkTheTalk
Use your #SuperPower
Vote on November 20
Vote for #Maharashtra
Vote for #MahaVikasAghadi
#VoteForMVA
#VoteforINDIAalliance",en,neutral,0.0,0.0
,auto,neutral,,
"#ಮಹಾರಾಷ್ಟ್ರ ವಿಧಾನಸಭಾ ಚುನಾವಣಾ ಹಿನ್ನಲೆ #ನೀಲಂಗಾ ಕ್ಷೇತ್ರದ ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷದ ಅಭ್ಯರ್ಥಿ ಶ್ರೀ @Abhay_Salunke3 ಅವರ ಪರವಾಗಿ #ಸವರಿ ಗ್ರಾಮದಲ್ಲಿ ಪ್ರಚಾರ ನಡೆಸಿ ಮತಯಾಚನೆ ಮಾಡಿದೆ.ಈ ವೇಳೆ ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷದ ಅಧ್ಯಕ್ಷರು,ಗ್ರಾಮದ ಅನೇಕ ಮುಖಂಡರು ಉಪಸ್ಥಿತರಿದ್ದರು.

#Congress #Nilanga #MaharashtraElections2024 @DKShivakumar @siddaramaiah @rssurjewala @GCC_MP @Abhay_Salunke3",auto,positive,5.0,5.0
"Often in Elections, Political parties make promises which they don't fulfill.

Dhruv Rathee challenged all the 6 parties of Maharashtra and placed before them all the big problems of Maharashtra.

Aditya Thackeray has accepted this challenge that if his government comes, these problems will be eliminated.

#MissionSwaraj",en,neutral,7.0,1.0
"मतदार राजा जागा हो, लोकशाहीचा धागा हो!

बुधवार, दिनांक २० नोव्हेंबर २०२४ रोजी मतदान करा आणि आपल्या अधिकाराचा योग्य वापर करा.

वोट कर, मुंबईकर!

#righttovote
#MaharashtraElections2024 
#Election2024 

@ECISVEEP
@CEO_Maharashtra
@CPMumbaiPolice
@MumbaiPolice
@electionmumbai",auto,positive,6.0,3.0
"#MaharashtraElections2024 | #November23WithTimesNow

The biggest faces speak only to Times Now

From the powerhouses driving the state's agenda

To the fresh voices challenging the status quo

Who will rise, and who will fall?

The most credible voices, only on #TimesNow https://t.co/AOrZYRWPcD",en,positive,0.0,0.0
"निवडणूक लेकीची, 
विजय धारावीचा...! 

#DharaviKiJyoti #DharaviKiBeti 
#DharaviForJyoti #लेक_धारावीची 
#ModaniHataoDharaviBachao
#AapkiJyoti #MaharashtraElections2024 https://t.co/2Ee3GDjozB",auto,neutral,1.0,0.0
"After many months while....
Welcome Back to Maharashtra Chief @PawanKalyan ❤️‍🔥🦁

#NDAForMaharashtra @JanaSenaParty
#MaharashtraElections2024
https://t.co/lb27RfyegR",en,positive,1.0,1.0
"@Dineshkjoshi007 निवडणूक लेकीची, 
विजय धारावीचा...! 

#DharaviKiJyoti #DharaviKiBeti 
#DharaviForJyoti #लेक_धारावीची 
#ModaniHataoDharaviBachao
#AapkiJyoti #MaharashtraElections2024",auto,neutral,0.0,0.0
"@Rakibkh08889526 @DrJyotiEGaikwad @INCIndia @INCMaharashtra @INCMumbai @IYC_Mumbai @IYCMaha @MumbaiDharavi @DharaviUnited निवडणूक लेकीची, 
विजय धारावीचा...! 

#DharaviKiJyoti #DharaviKiBeti 
#DharaviForJyoti #लेक_धारावीची 
#ModaniHataoDharaviBachao
#AapkiJyoti #MaharashtraElections2024",auto,neutral,0.0,0.0
"#bjp4virar 
#MaharashtraElections2024 
#parivartan 
#bjpmahararashtra https://t.co/JhWZ4XGYtm",auto,neutral,0.0,0.0
युवासेनाप्रमुख शिवसेना नेते आमदार आदित्य ठाकरे ह्यांचा मेट्रोने प्रवास! https://t.co/iRzaN7q4OA,auto,neutral,51.0,12.0
"महाराष्ट्र वाचवण्यासाठीच तर पक्षप्रमुख मा. श्री. उद्धवसाहेब ठाकरे लढत आहेत. महाराष्ट्राच्या उज्वल भविष्यासाठीच तर महाविकास आघाडीची स्थापना झालेली आहे. युट्यूबर ध्रुव राठी ह्यांनी दिलेलं चॅलेंज हे राज्यातील जनतेच्या आणि सर्वसामान्यांच्या हिताचंच आहे आणि म्हणूनच ध्रुव राठी ह्यांनी दिलेलं आव्हान स्विकारलेलं आहे.
Credit: @dhruv_rathee 

@AUThackeray",auto,positive,207.0,55.0
"RT @dhruv_rathee: Aditya Thackeray has accepted our challenge! Write down your suggestions in the comments below 

#MissionSwaraj https://t…",en,negative,20286.0,3666.0
"महाराष्ट्राच्या स्वाभिमानाचा, निर्णय कुटुंबप्रमुखांचा!

५ मार्च २०२० 
‘औरंगाबाद विमानतळा’ला छत्रपती संभाजी महाराज विमानतळ नाव देण्याचा निर्णय. https://t.co/4UIgszIYi4",auto,neutral,56.0,14.0
मनसेचे प्रदेश सरचिटणीस आणि माजी महापौर अशोक देवराम मुर्तडक ह्यांनी त्यांच्या शेकडो सहकाऱ्यांसह आज नाशिक येथे पक्षप्रमुख मा. श्री. उद्धवसाहेब ठाकरे ह्यांच्या उपस्थितीत शिवसेना (उद्धव बाळासाहेब ठाकरे) पक्षात प्रवेश केला. https://t.co/B34dUKokC9,auto,positive,398.0,70.0
"महाराष्ट्र स्वाभिमान सभा!
स्वराज्याचा स्वाभिमान जपूया, महाराष्ट्रधर्म वाढवूया!

स्थळ: भांडुप https://t.co/onixCmJwzc",auto,neutral,112.0,25.0
"महाराष्ट्र स्वाभिमान सभा!
स्वराज्याचा स्वाभिमान जपूया, महाराष्ट्रधर्म वाढवूया!

स्थळ: ठाणे https://t.co/mZi0SMZYe7",auto,neutral,145.0,33.0
"महाराष्ट्र स्वाभिमान सभा!
स्वराज्याचा स्वाभिमान जपूया, महाराष्ट्रधर्म वाढवूया!

स्थळ: कल्याण https://t.co/NEFS9Co18i",auto,neutral,133.0,34.0
RT @AUThackeray: १८१- माहिम विधानसभा मतदारसंघ महाविकास आघाडीचे अधिकृत उमेदवार महेश सावंत ह्यांच्या प्रचारार्थ दादरमधील खांडके बिल्डिंग येथे…,auto,neutral,1083.0,154.0
"महाराष्ट्र स्वाभिमान सभा!
स्वराज्याचा स्वाभिमान जपूया, महाराष्ट्रधर्म वाढवूया!

स्थळ: डोंबिवली https://t.co/WHoBe9jf7P",auto,neutral,94.0,25.0
"केन्द्रीय गृह एवं सहकारिता मंत्री श्री @AmitShah की 16 नवंबर, 2024 को झारखंड में जनसभाएं। 

लाइव देखें : 
📺https://t.co/OaPd6HRrq3 
📺https://t.co/vpP0MIos7C
📺https://t.co/lcXkSnOnsV
📺https://t.co/4XQ2GzrhRl https://t.co/8EI72ci7Vn",auto,positive,77.0,17.0
"आने वाला चुनाव ये तय करने वाला है कि महाराष्ट्र छत्रपति शिवाजी महाराज और वीर सावरकर के रास्ते पर चलेगा या औरंगजेब के रास्ते पर चलेगा।

हमारी महायुति ने बिना किसी कंफ्यूजन के छत्रपति शिवाजी महाराज और वीर सावरकर का रास्ता चुना है और ये अघाड़ी वाले औरंगजेब फैन क्लब वाले हैं।

- श्री @AmitShah  

पूरा वीडियो देखें : https://t.co/J1KwDFAvns",auto,positive,157.0,61.0
"अघाड़ी झूठे लोगों की फौज है।

राहुल बाबा, अगर आप सच बोलते हो तो वीर सावरकर जी के लिए 2 अच्छे वाक्य बोलकर दिखाओ।

अपने साथी उद्धव ठाकरे जी के पिताजी महान बाला साहब ठाकरे जी का 2 मिनट के लिए बखान कर दीजिए।

उद्धव जी, अगर हिम्मत है तो वीर सावरकर और महान बाला साहब ठाकरे जी के लिए राहुल बाबा से 2 अच्छे शब्द बुलवा कर दिखा दीजिए।

- श्री @AmitShah  

पूरा वीडियो देखें : https://t.co/J1KwDFAvns",auto,positive,149.0,58.0
"जब हमारे जनजातीय भाई-बहन विकसित होंगे, तभी हमारा देश भी सही अर्थ में विकसित होगा।

जनजातीय समाज के लोगों की तेज गति से प्रगति हो, यही हमारी राष्ट्रीय प्राथमिकता है।

- राष्ट्रपति श्रीमती द्रौपदी मुर्मू https://t.co/1ZTPsQF4uC",auto,positive,203.0,79.0
"वर्तमान सरकार (मोदी सरकार) ने जनजातीय समुदाय के विकास और कल्याण की यात्रा को तेज गति से आगे बढ़ाया है।

राष्ट्रीय कार्यक्रमों में जनजातीय समाज तक सभी सुविधाएं पहुंचाने के विशेष उपाय किए गए हैं।

इसके अलावा जनजातीय समुदाय के लिए अलग से विशेष योजनाएं भी चलाई जा रही हैं।

- राष्ट्रपति श्रीमती द्रौपदी मुर्मू",auto,positive,175.0,58.0
"Rahul Baba used to say that his govt would credit money in the accounts of the people instantly. 

You were unable to fulfill your promises in Himachal, Karnataka, and Telangana, and hence, Kharge Ji had to caution Congress against making untenable promises. However, Modi ji's promises are sacrosanct.

We have promised that sisters will get Rs 2100 under Ladki Bahin Yojana. They will get two gas cylinders free of cost... 

- Shri @AmitShah",en,negative,108.0,32.0
गृह मंत्री श्री @AmitShah महाराष्ट्र के चंद्रपुर विधानसभा क्षेत्र में जनसभा को संबोधित करते हुए।  https://t.co/3tyGucZZbs,auto,neutral,590.0,130.0
"मोदी जी ने देश को आतंकवाद और नक्सलवाद से मुक्त कराने का काम किया। देश को समृद्ध करने और दुनिया में सम्मान बढ़ाने का काम किया है। 

मोदी जी ने महाराष्ट्र के विकास के लिए 15 लाख 10 हजार करोड़ रुपया भेजा है। इसके साथ ही ढेर सारे प्रोजेक्ट्स भी महाराष्ट्र में शुरू किए गए। 

आप यहां महायुति की सरकार बना दो, महाराष्ट्र का गौरव जो अघाड़ी की सरकार के दौरान चला गया था, महायुति सरकार इसको फिर से प्रस्थापित करेगी। 

- श्री @AmitShah",auto,positive,29.0,10.0
"BJP National President Shri @JPNadda addresses intellectuals meet in Thane, Maharashtra. https://t.co/aeuo3JJEp0",en,neutral,886.0,205.0
"@JPNadda कांग्रेस और अघाड़ी वाले OBC/SC/ST के हकों को मारकर उन्हें माइनॉरिटी के नाम पर मुसलमानों को देना चाहते हैं।

हम सबका साथ-सबका विकास-सबका विश्वास-सबका प्रयास की बात करते हैं और ये लोग (अघाड़ी वाले) समाज को बांटने का काम कर रहे हैं।

- श्री @JPNadda",auto,neutral,40.0,15.0
"मेरे लिए असम सहित पूरा Northeast भारत की अष्टलक्ष्मी है।

अब विकास का सूरज पूर्वी भारत से उगेगा, जो विकसित भारत के संकल्प को नई ऊर्जा देगा।

इसलिए हम पूर्वोत्तर में स्थायी शांति के लिए निरंतर प्रयास कर रहे हैं।

हम पूर्वोत्तर के राज्यों के सीमा विवादों का सौहार्द के साथ समाधान खोज रहे हैं।

- पीएम श्री @narendramodi  

पूरा वीडियो देखें : https://t.co/WPrtXWbhDR",auto,positive,53.0,16.0
"ये सत्ता के लिए कुछ भी कर सकते हैं, इनको आराम देना बहुत जरूरी है।

इसलिए आज भाजपा और महायुती को आगे बढाने की जरूरत है।

- श्री @JPNadda",auto,positive,64.0,15.0
"बाला साहब ठाकरे कहते थे कि मैं अपनी पार्टी खत्म कर दूंगा, लेकिन कांग्रेस से समझौता नहीं करूंगा।

लेकिन उद्धव ठाकरे आज उन्हीं (कांग्रेस) की गोद में जाकर बैठ गए हैं।

- श्री @JPNadda",auto,neutral,73.0,20.0
"पीएम किसान सम्मान निधि के अंतर्गत 11.78 करोड़ किसानों को हर साल 6 हजार रुपये सीधे बैंक खातों में भेजे जा रहे हैं।

यहां महाराष्ट्र में महायुति सरकार द्वारा 6 हजार रुपये अतिरिक्त दिए जा रहे हैं।

और अब हमने तय किया है कि फिर से महायुति की सरकार बनने पर इस 12 हजार की राशि को बढ़ाकर 15 हजार रुपये कर दिया जाएगा।

- श्री @JPNadda",auto,positive,68.0,13.0
